brand,country,medium,headline,industry
,France,Print,join the carbon fighters there are many simple gestures to fight for the environment in your daily life at the office turn off the light when you leave maintain a low temperature in your office dont let your battery charger plugged find your way to kill carbon dioxide and joing the club carbonfightersorg,Public interest & Non-profit
Tag Comunicação,Brazil,Print,tag no labels labels dont define us they limit us we are neither online or offline we are an ad agency made by trends people and a lot of work in order to help your brand connect the right way to whoever you want to,Professional & Public services
GrandOptical,France,Print,black collection 99 you dont need paris hiltons dog to have her style,"Apparel, Clothing, Footwear & Accessories"
,China,Print,where have all the people gone visit europe for 6988  1 offer only two days left,Transport & Tourism
Access Israel,Israel,Print,its easy to park in a handicap spot but do try to resist the urge,Public interest & Non-profit
,China,TV & Cinema,what better way than having a goodlooking woman sleeping peacefully like a baby to show the hospitality of a hotel even therere mini pillows placed under each of her fingers tag line relaxing and to your wish,Transport & Tourism
Prorelax,Brazil,Print,for all kind of sleep have a prorelax mattress,"House, Garden & Pets"
Stihl,Australia,Print,wireless hotspot get real get outside,"House, Garden & Pets"
Heinz,India,Print,cut here the freshest tomato ketchup heinz,Food & Beverages
ESTAL,,Print,this christmas help to save the life of those who venture on the sea for a better land donate to sosmediterraneecom,Public interest & Non-profit
Mercator Insurance,Belgium,TV & Cinema,at home in your world,Financial & Legal services
Domino's Pizza,United Arab Emirates,Print,before hungry gets you dominos pizza,Food & Beverages
Ariel,France,Print,clothes which stay in form,"House, Garden & Pets"
Audi,Germany,Print,born of powerful ideas,Automotive & Services
,Chile,Print,room 02,Education
Tulipan,Argentina,Print,signs are all compatible,Beauty & Health
,Italy,Print,the world needs childrens dreams,Toys & Games
Vodafone,Turkey,Print,vodafone voice signature service the safest identity verification,Electronics & Audio-Visual
Angolissar,Angola,Print,childrens enriched powdered milk,Food & Beverages
Kikli inou,Greece,Print,for really  elegant taste,Alcoholic drinks
Procter & Gamble (P&G),United States,Print,smell as great as you look,"House, Garden & Pets"
,France,Print,canal beyond sport,Media & Publishing
Vodacom,Mozambique,Print,breast autoexam a gentle gesture from you to you,Electronics & Audio-Visual
PKP Express InterCity,Poland,Print,manicure pretaporter salsa ticket please spa express intercity first class travel,Transport & Tourism
Cemig Eletric Power,Brazil,Print,music with no waste dont forget the tv on,Industrial & Agricultural
Harbour House Crabs,United States,Print,fresh off the boat,Food & Beverages
,Romania,Print,hobbies should take time not space,Professional & Public services
Super-Pharm,Israel,Outdoor,dear prince william the british sun is nothing compared to the israeli sun  wear sunscreen,Pharmaceutical
,Brazil,Print,perfect images for a notsoperfect world,Electronics & Audio-Visual
Risk,United States,Print,one roll can change everything,Toys & Games
Old Spice,United States,Print,somewhere in there theres a man in there,Beauty & Health
National Geographic,South Africa,Print,dogs have issues too,Media & Publishing
WD-40,United States,Print,who knew,"House, Garden & Pets"
Saridon,Philippines,Print,for persistent headaches,Pharmaceutical
,France,Print,france vs england the revenge ratp the official supplier of the french rugby team,"Apparel, Clothing, Footwear & Accessories"
Smallable,France,Print,smallable the fashion website you wish you had known when you were a kid,Retail & Distribution
Virgin,United Arab Emirates,Print,every picture has a soundtrack,Retail & Distribution
Gargage,United States,Print,we take this seriously,"Culture, Recreation & Sport"
Specsavers,Australia,Outdoor,shouldve gone to specsavers,Professional & Public services
,China,Print,with a bookazine on collaborations between cultures art forms and disciplines,Media & Publishing
,Brazil,Print,change your reference point,Transport & Tourism
Newseum,United States,Print,ali topples a legend now in dc where the news comes to life,"Culture, Recreation & Sport"
Jornal do Commercio,Brazil,Print,you have a thousand reasons to hate mondays they dont best companies to work for award pernambuco,Media & Publishing
Conforama,France,TV & Cinema,to each his own style to each his own kitchen,"House, Garden & Pets"
Freddy,Italy,Print,make a move make it happen human machine nº9 orange squeezing machine the motion of the pedals is transferred to two cog wheels joined by a belt and thus to the orange squeezer making it rotate rapidly by pulling the handlebars towards yourself the squeezer reaches one of the oranges on the wooden wheel overhead and extracts juice from it the wheel can be turned manually to position another orange for squeezing the juice flows along a tube and is collected in a container,Education
Chaco,United States,Print,fit for adventure,"Apparel, Clothing, Footwear & Accessories"
Auckland City Mission,New Zealand,Print,winter weather makes poverty even harder,Public interest & Non-profit
,Mozambique,Print,arquivo m your contacts always safe sms to 828282820 for more information,Electronics & Audio-Visual
Pain Without Borders,France,Print,in some countries the first thing you learn is to live with pain,Public interest & Non-profit
Sky Company Skydiving,Brazil,Print,bad luck never misses sky company parachuting jump with professionals,"Culture, Recreation & Sport"
Enzym Lefax,Germany,Print,when your stomach turns upside down,Pharmaceutical
Baygon,Brazil,Print,if you wanna kill them kill them fast,"House, Garden & Pets"
Cigar Factory,United States,Print,construction has begun,Industrial & Agricultural
,Brazil,Print,no more stains semorin stain remover,"House, Garden & Pets"
Financial Times,United Kingdom,Print,the eurozone crisis how hard will it hit america for a global perspective subscribe at ftcomsubscribe,Media & Publishing
Hasbro,France,Print,life is a mastermind game,Toys & Games
Jelly's,South Africa,Print,because noone would believe you,Toys & Games
Wiehenstephan Milk,Germany,Outdoor,just good milk,Food & Beverages
Followfish,Germany,Print,follow the true taste the worlds first pizza with tracking code,Food & Beverages
IMAX,Australia,Print,lots of people find theyre drawn to the silver screen thats just gravity,"Culture, Recreation & Sport"
Tigo,Paraguay,Print,it would be cool to have an extra minute to talk text 222 and well give it to you,"Apparel, Clothing, Footwear & Accessories"
,Belgium,Print,we rock one two brothers two styles two designers two visions blended into one,Professional & Public services
,China,Print,yanghe blue classics – soften your heart,Alcoholic drinks
Defensores de la Naturaleza,,Print,skip the straw,Public interest & Non-profit
The Case For Her,,Cyber,paint the town red,Financial & Legal services
,Philippines,Print,eat your hat out bad english is bad for business wwwenglishiscoolorg joint csr project of european chamber of commerce of the philippines and eon the stakeholder relations firm,Education
,Taiwan,TV & Cinema,in the market the shopkeepers slice their goods in halves… ice blocks beverages it is because the shopkeepers need to transport the goods by motorbike that is limited in space if they use the new model the problem can be solved  vo hey ever if you dont have enough room there is no need to do this look at this gold 125 of mine 50 more space it is ideal for the load new gold power durable and more powerful,Automotive & Services
Soöruz,France,Print,04 team kitesurf soöruz usually florian daubos wears soöruz no guts no glory,"Apparel, Clothing, Footwear & Accessories"
SKY,Italy,Print,the most beautiful football is only in hd,Media & Publishing
Hansaplast,Peru,Print,adhesive bandages,Beauty & Health
Ford,United States,Print,2009 ford focus,Automotive & Services
Kinokuniya,Saudi Arabia,Print,a good night starts after a good story,Retail & Distribution
Volkswagen,Switzerland,Outdoor,for true snow bunnies  new tiguan allspace 4motion,Automotive & Services
Toyota,United States,Print,the animals feel at home youll feel 8000 miles away,Automotive & Services
,,Print,lemon after two years of thorough washing,"House, Garden & Pets"
MTV,Brazil,Print,there is no sex in heaven stay alive use a condom,Media & Publishing
,Colombia,Print,lifes a journey always be there chevrolet,Automotive & Services
Chernobyl Radio Activa,Paraguay,Print,one beer one heart,Media & Publishing
Boost Mobile,United States,TV & Cinema,be heard,Professional & Public services
Vila Olimpica,Brazil,Print,escape from laziness,"Culture, Recreation & Sport"
Three Crowns Milk,Nigeria,Print,whatever works out,Food & Beverages
Now News Portal,Brazil,Print,news just happening now,Internet sites & Services
Premier Dermatology,United States,Print,uncertified referees not as scary as uncertified dermotologists at premier dermatology board certified dermatologists provide your skin care at a medispa it could be anyone premier dermatology,Beauty & Health
